연대,단어,품사,언어,빈도수
1960s,하루,ko_nouns,ko,2
1960s,거리,ko_nouns,ko,25
1960s,사람,ko_nouns,ko,84
1960s,물결,ko_nouns,ko,8
1960s,하늘,ko_nouns,ko,26
1960s,별,ko_nouns,ko,19
1960s,가로등,ko_nouns,ko,4
1960s,꽃,ko_nouns,ko,90
1960s,피,ko_nouns,ko,15
1960s,허공,ko_nouns,ko,4
1960s,바람,ko_nouns,ko,18
1960s,차고,ko_nouns,ko,2
1960s,마음,ko_nouns,ko,114
1960s,애드베룬,ko_nouns,ko,2
1960s,발길,ko_nouns,ko,8
1960s,인사,ko_nouns,ko,2
1960s,내일,ko_nouns,ko,7
1960s,다시,ko_nouns,ko,35
1960s,조기,ko_nouns,ko,1
1960s,담뿍,ko_nouns,ko,1
1960s,폭,ko_nouns,ko,2
1960s,배,ko_nouns,ko,4
1960s,수평선,ko_nouns,ko,6
1960s,이름,ko_nouns,ko,21
1960s,갈매기,ko_nouns,ko,3
1960s,눈물,ko_nouns,ko,45
1960s,연평도,ko_nouns,ko,2
1960s,태풍,ko_nouns,ko,1
1960s,사라,ko_nouns,ko,1
1960s,호,ko_nouns,ko,1
1960s,황천,ko_nouns,ko,1
1960s,얼굴,ko_nouns,ko,27
1960s,보리,ko_nouns,ko,3
1960s,해저,ko_nouns,ko,1
1960s,문,ko_nouns,ko,1
1960s,사장,ko_nouns,ko,10
1960s,모습,ko_nouns,ko,12
1960s,등대,ko_nouns,ko,1
1960s,불만,ko_nouns,ko,1
1960s,깜박,ko_nouns,ko,1
1960s,절,ko_nouns,ko,8
1960s,임,ko_nouns,ko,8
1960s,사랑,ko_nouns,ko,223
1960s,참고,ko_nouns,ko,1
1960s,애,ko_nouns,ko,11
1960s,가슴,ko_nouns,ko,74
1960s,잘못,ko_nouns,ko,5
1960s,처럼,ko_nouns,ko,2
1960s,밤,ko_nouns,ko,52
1960s,꿈,ko_nouns,ko,36
1960s,다정,ko_nouns,ko,1
1960s,가슴속,ko_nouns,ko,10
1960s,간직,ko_nouns,ko,4
1960s,못난이,ko_nouns,ko,1
1960s,헤일,ko_nouns,ko,1
1960s,아픔,ko_nouns,ko,1
1960s,동백아가씨,ko_nouns,ko,2
1960s,그리움,ko_nouns,ko,17
1960s,꽃잎,ko_nouns,ko,14
1960s,멍,ko_nouns,ko,3
1960s,동백꽃,ko_nouns,ko,4
1960s,잎,ko_nouns,ko,14
1960s,사연,ko_nouns,ko,10
1960s,안고,ko_nouns,ko,7
1960s,오늘,ko_nouns,ko,11
1960s,가신,ko_nouns,ko,2
1960s,자리,ko_nouns,ko,2
1960s,둘이서,ko_nouns,ko,3
1960s,순간,ko_nouns,ko,6
1960s,달빛,ko_nouns,ko,2
1960s,채,ko_nouns,ko,3
1960s,비,ko_nouns,ko,14
1960s,두고두고,ko_nouns,ko,1
1960s,다한,ko_nouns,ko,5
1960s,가오리,ko_nouns,ko,1
1960s,달래,ko_nouns,ko,4
1960s,가오,ko_nouns,ko,1
1960s,항구,ko_nouns,ko,9
1960s,번지,ko_nouns,ko,4
1960s,부기우기,ko_nouns,ko,10
1960s,그라스,ko_nouns,ko,2
1960s,아가씨,ko_nouns,ko,39
1960s,고동,ko_nouns,ko,2
1960s,울면,ko_nouns,ko,2
1960s,이별,ko_nouns,ko,4
1960s,달이,ko_nouns,ko,7
1960s,기전,ko_nouns,ko,7
1960s,이슬,ko_nouns,ko,8
1960s,마도,ko_nouns,ko,11
1960s,로스,ko_nouns,ko,11
1960s,인심,ko_nouns,ko,2
1960s,므나,ko_nouns,ko,1
1960s,가야,ko_nouns,ko,4
1960s,정열,ko_nouns,ko,4
1960s,한숨,ko_nouns,ko,4
1960s,뒷골목,ko_nouns,ko,1
1960s,누비,ko_nouns,ko,1
1960s,단,ko_nouns,ko,3
1960s,목숨,ko_nouns,ko,3
1960s,자식,ko_nouns,ko,3
1960s,욕,ko_nouns,ko,3
1960s,그대,ko_nouns,ko,52
1960s,태양,ko_nouns,ko,5
1960s,우러러,ko_nouns,ko,1
1960s,사나이,ko_nouns,ko,14
1960s,외,ko_nouns,ko,5
1960s,하늘만,ko_nouns,ko,1
1960s,맨발,ko_nouns,ko,1
1960s,한길,ko_nouns,ko,1
1960s,상처,ko_nouns,ko,7
1960s,홀로,ko_nouns,ko,19
1960s,생전,ko_nouns,ko,2
1960s,처음,ko_nouns,ko,3
1960s,순정,ko_nouns,ko,14
1960s,천국,ko_nouns,ko,3
1960s,옆,ko_nouns,ko,2
1960s,피어,ko_nouns,ko,4
1960s,나리,ko_nouns,ko,7
1960s,고요한,ko_nouns,ko,4
1960s,밤하늘,ko_nouns,ko,4
1960s,파도,ko_nouns,ko,11
1960s,소리,ko_nouns,ko,29
1960s,물새,ko_nouns,ko,4
1960s,울음소리,ko_nouns,ko,2
1960s,슬픔,ko_nouns,ko,8
1960s,주네,ko_nouns,ko,2
1960s,밀짚모자,ko_nouns,ko,1
1960s,포플,ko_nouns,ko,1
1960s,그늘,ko_nouns,ko,3
1960s,떼,ko_nouns,ko,3
1960s,목장,ko_nouns,ko,3
1960s,연분홍,ko_nouns,ko,3
1960s,빛,ko_nouns,ko,4
1960s,입술,ko_nouns,ko,5
1960s,웃음,ko_nouns,ko,6
1960s,푸른,ko_nouns,ko,11
1960s,라라라,ko_nouns,ko,2
1960s,라라라라,ko_nouns,ko,6
1960s,음음음음,ko_nouns,ko,1
1960s,눈,ko_nouns,ko,23
1960s,감고,ko_nouns,ko,3
1960s,허황,ko_nouns,ko,2
1960s,빗속,ko_nouns,ko,2
1960s,여인,ko_nouns,ko,16
1960s,지금,ko_nouns,ko,13
1960s,어데,ko_nouns,ko,8
1960s,레인코트,ko_nouns,ko,1
1960s,눈동자,ko_nouns,ko,10
1960s,미소,ko_nouns,ko,5
1960s,며,ko_nouns,ko,2
1960s,우산,ko_nouns,ko,3
1960s,빗방울,ko_nouns,ko,2
1960s,빗,ko_nouns,ko,3
1960s,솔솔,ko_nouns,ko,2
1960s,솔,ko_nouns,ko,2
1960s,오솔길,ko_nouns,ko,1
1960s,구두,ko_nouns,ko,7
1960s,똑똑,ko_nouns,ko,2
1960s,똑,ko_nouns,ko,2
1960s,가시,ko_nouns,ko,3
1960s,한번,ko_nouns,ko,17
1960s,뒤,ko_nouns,ko,5
1960s,볼,ko_nouns,ko,3
1960s,발걸음,ko_nouns,ko,1
1960s,밤밤,ko_nouns,ko,1
1960s,밤길,ko_nouns,ko,3
1960s,종소리,ko_nouns,ko,1
1960s,소쩍새,ko_nouns,ko,1
1960s,고간,ko_nouns,ko,2
1960s,나비,ko_nouns,ko,2
1960s,두꺼비,ko_nouns,ko,1
1960s,잠,ko_nouns,ko,4
1960s,하품,ko_nouns,ko,1
1960s,집,ko_nouns,ko,6
1960s,고양,ko_nouns,ko,1
1960s,아랫목,ko_nouns,ko,1
1960s,차지,ko_nouns,ko,2
1960s,겨울,ko_nouns,ko,8
1960s,봄,ko_nouns,ko,8
1960s,나들이,ko_nouns,ko,1
1960s,핑계,ko_nouns,ko,2
1960s,나물,ko_nouns,ko,1
1960s,간다,ko_nouns,ko,5
1960s,거울,ko_nouns,ko,2
1960s,한나절,ko_nouns,ko,2
1960s,간,ko_nouns,ko,10
1960s,주,ko_nouns,ko,6
1960s,중,ko_nouns,ko,10
1960s,쓰름,ko_nouns,ko,2
1960s,쓰르라미,ko_nouns,ko,1
1960s,개구리,ko_nouns,ko,1
1960s,합창,ko_nouns,ko,1
1960s,멋쟁이,ko_nouns,ko,5
1960s,제비,ko_nouns,ko,1
1960s,도망,ko_nouns,ko,1
1960s,송아진,ko_nouns,ko,1
1960s,낮잠,ko_nouns,ko,1
1960s,여름,ko_nouns,ko,6
1960s,동네,ko_nouns,ko,2
1960s,총각,ko_nouns,ko,11
1960s,밭갈이,ko_nouns,ko,3
1960s,장기,ko_nouns,ko,1
1960s,가을,ko_nouns,ko,15
1960s,물방아,ko_nouns,ko,2
1960s,돌리지,ko_nouns,ko,3
1960s,순이,ko_nouns,ko,1
1960s,잔칫날,ko_nouns,ko,1
1960s,닥,ko_nouns,ko,1
1960s,떡방아,ko_nouns,ko,1
1960s,물바,ko_nouns,ko,1
1960s,지붕,ko_nouns,ko,1
1960s,새,ko_nouns,ko,20
1960s,방아,ko_nouns,ko,1
1960s,맥,ko_nouns,ko,1
1960s,마을,ko_nouns,ko,6
1960s,무역,ko_nouns,ko,1
1960s,선,ko_nouns,ko,6
1960s,고가,ko_nouns,ko,3
1960s,부산,ko_nouns,ko,4
1960s,부두,ko_nouns,ko,4
1960s,죄,ko_nouns,ko,2
1960s,야속트,ko_nouns,ko,1
1960s,기적,ko_nouns,ko,2
1960s,울,ko_nouns,ko,13
1960s,뱃머리,ko_nouns,ko,3
1960s,아메리카,ko_nouns,ko,2
1960s,술,ko_nouns,ko,3
1960s,취한,ko_nouns,ko,1
1960s,무정트,ko_nouns,ko,1
1960s,깃발,ko_nouns,ko,1
1960s,테프,ko_nouns,ko,1
1960s,곳,ko_nouns,ko,11
1960s,벗,ko_nouns,ko,2
1960s,사려,ko_nouns,ko,1
1960s,미련,ko_nouns,ko,13
1960s,때문,ko_nouns,ko,7
1960s,몸부림,ko_nouns,ko,4
1960s,치,ko_nouns,ko,1
1960s,님,ko_nouns,ko,36
1960s,목,ko_nouns,ko,8
1960s,궂은비,ko_nouns,ko,4
1960s,염,ko_nouns,ko,1
1960s,영등포,ko_nouns,ko,5
1960s,불길,ko_nouns,ko,3
1960s,적막,ko_nouns,ko,1
1960s,추억,ko_nouns,ko,13
1960s,불빛,ko_nouns,ko,3
1960s,하룻밤,ko_nouns,ko,1
1960s,뱃길,ko_nouns,ko,3
1960s,오건,ko_nouns,ko,1
1960s,이국,ko_nouns,ko,3
1960s,땅,ko_nouns,ko,4
1960s,서러움,ko_nouns,ko,2
1960s,현해탄,ko_nouns,ko,2
1960s,달,ko_nouns,ko,12
1960s,문틈,ko_nouns,ko,1
1960s,어머님,ko_nouns,ko,6
1960s,수륙,ko_nouns,ko,2
1960s,만리,ko_nouns,ko,5
1960s,고국,ko_nouns,ko,1
1960s,이건,ko_nouns,ko,1
1960s,머리,ko_nouns,ko,2
1960s,항,ko_nouns,ko,1
1960s,누가,ko_nouns,ko,15
1960s,멀리,ko_nouns,ko,12
1960s,연기,ko_nouns,ko,1
1960s,벌판,ko_nouns,ko,4
1960s,지평선,ko_nouns,ko,4
1960s,노을,ko_nouns,ko,3
1960s,목동,ko_nouns,ko,2
1960s,그림,ko_nouns,ko,2
1960s,움,ko_nouns,ko,4
1960s,뭉,ko_nouns,ko,1
1960s,구름,ko_nouns,ko,13
1960s,저편,ko_nouns,ko,1
1960s,산,ko_nouns,ko,10
1960s,기러기,ko_nouns,ko,6
1960s,언덕길,ko_nouns,ko,1
1960s,초생달,ko_nouns,ko,1
1960s,뿌리,ko_nouns,ko,3
1960s,피리,ko_nouns,ko,2
1960s,노래,ko_nouns,ko,16
1960s,메아리,ko_nouns,ko,4
1960s,뭉게,ko_nouns,ko,1
1960s,편,ko_nouns,ko,1
1960s,내뿜는,ko_nouns,ko,1
1960s,담배,ko_nouns,ko,1
1960s,진고,ko_nouns,ko,2
1960s,신사,ko_nouns,ko,6
1960s,헝크,ko_nouns,ko,1
1960s,러진,ko_nouns,ko,1
1960s,푸르른,ko_nouns,ko,1
1960s,파이프,ko_nouns,ko,1
1960s,실,ko_nouns,ko,1
1960s,첫사랑,ko_nouns,ko,5
1960s,배귀,ko_nouns,ko,1
1960s,정,ko_nouns,ko,8
1960s,깨스등,ko_nouns,ko,1
1960s,기름,ko_nouns,ko,1
1960s,옷,ko_nouns,ko,2
1960s,소녀,ko_nouns,ko,7
1960s,앞,ko_nouns,ko,6
1960s,어제,ko_nouns,ko,4
1960s,요,ko_nouns,ko,10
1960s,꽃송이,ko_nouns,ko,3
1960s,곱,ko_nouns,ko,8
1960s,엄마,ko_nouns,ko,2
1960s,샘,ko_nouns,ko,1
1960s,쌍쌍이,ko_nouns,ko,1
1960s,그림자,ko_nouns,ko,12
1960s,짝,ko_nouns,ko,6
1960s,몸매,ko_nouns,ko,1
1960s,마음씨,ko_nouns,ko,3
1960s,덩이,ko_nouns,ko,1
1960s,세상,ko_nouns,ko,11
1960s,끝,ko_nouns,ko,1
1960s,강가,ko_nouns,ko,1
1960s,맹세,ko_nouns,ko,11
1960s,품,ko_nouns,ko,4
1960s,바람결,ko_nouns,ko,1
1960s,갈대,ko_nouns,ko,5
1960s,영원,ko_nouns,ko,6
1960s,변치,ko_nouns,ko,4
1960s,생각,ko_nouns,ko,22
1960s,산너머,ko_nouns,ko,3
1960s,남촌,ko_nouns,ko,6
1960s,살길,ko_nouns,ko,3
1960s,봄바람,ko_nouns,ko,2
1960s,남,ko_nouns,ko,5
1960s,사월,ko_nouns,ko,4
1960s,진달래,ko_nouns,ko,2
1960s,향기,ko_nouns,ko,5
1960s,밀,ko_nouns,ko,2
1960s,오월,ko_nouns,ko,4
1960s,음새,ko_nouns,ko,2
1960s,오리,ko_nouns,ko,4
1960s,남풍,ko_nouns,ko,3
1960s,불,ko_nouns,ko,9
1960s,빛깔,ko_nouns,ko,1
1960s,금잔디,ko_nouns,ko,1
1960s,벌,ko_nouns,ko,2
1960s,호랑나비,ko_nouns,ko,1
1960s,버들,ko_nouns,ko,1
1960s,밭,ko_nouns,ko,4
1960s,실개천,ko_nouns,ko,1
1960s,종달새,ko_nouns,ko,1
1960s,실어,ko_nouns,ko,3
1960s,부모,ko_nouns,ko,4
1960s,아들,ko_nouns,ko,2
1960s,딸,ko_nouns,ko,2
1960s,박,ko_nouns,ko,1
1960s,영감,ko_nouns,ko,2
1960s,노랭,ko_nouns,ko,1
1960s,청춘,ko_nouns,ko,9
1960s,원더,ko_nouns,ko,4
1960s,아빠,ko_nouns,ko,4
1960s,브라보,ko_nouns,ko,4
1960s,인생,ko_nouns,ko,10
1960s,구경,ko_nouns,ko,7
1960s,서울,ko_nouns,ko,18
1960s,돈,ko_nouns,ko,10
1960s,제일,ko_nouns,ko,5
1960s,산통,ko_nouns,ko,1
1960s,며느리,ko_nouns,ko,1
1960s,황소,ko_nouns,ko,1
1960s,고집,ko_nouns,ko,1
1960s,코,ko_nouns,ko,4
1960s,남쪽,ko_nouns,ko,1
1960s,나라,ko_nouns,ko,2
1960s,월남,ko_nouns,ko,1
1960s,달밤,ko_nouns,ko,1
1960s,십자,ko_nouns,ko,1
1960s,별빛,ko_nouns,ko,6
1960s,하모니카,ko_nouns,ko,1
1960s,아리랑,ko_nouns,ko,1
1960s,멜로디,ko_nouns,ko,4
1960s,향수,ko_nouns,ko,1
1960s,열대어,ko_nouns,ko,1
1960s,사이공,ko_nouns,ko,1
1960s,산호,ko_nouns,ko,1
1960s,아롱다롱,ko_nouns,ko,2
1960s,모래,ko_nouns,ko,3
1960s,이면,ko_nouns,ko,4
1960s,카누,ko_nouns,ko,1
1960s,고향,ko_nouns,ko,10
1960s,산천,ko_nouns,ko,1
1960s,강,ko_nouns,ko,7
1960s,건너,ko_nouns,ko,10
1960s,남도,ko_nouns,ko,1
1960s,천리,ko_nouns,ko,11
1960s,그린,ko_nouns,ko,1
1960s,철,ko_nouns,ko,2
1960s,손,ko_nouns,ko,10
1960s,자장,ko_nouns,ko,4
1960s,아가,ko_nouns,ko,2
1960s,길이,ko_nouns,ko,10
1960s,운명,ko_nouns,ko,4
1960s,업힌,ko_nouns,ko,1
1960s,파란,ko_nouns,ko,5
1960s,흰구름,ko_nouns,ko,3
1960s,조개잡이,ko_nouns,ko,3
1960s,처녀,ko_nouns,ko,10
1960s,콧노래,ko_nouns,ko,2
1960s,발,ko_nouns,ko,3
1960s,부,ko_nouns,ko,3
1960s,심심,ko_nouns,ko,1
1960s,산골,ko_nouns,ko,3
1960s,날개,ko_nouns,ko,2
1960s,물건,ko_nouns,ko,1
1960s,정녕,ko_nouns,ko,1
1960s,라면,ko_nouns,ko,5
1960s,받드,ko_nouns,ko,1
1960s,해도,ko_nouns,ko,9
1960s,무지개,ko_nouns,ko,3
1960s,밑,ko_nouns,ko,3
1960s,행복,ko_nouns,ko,4
1960s,샘터,ko_nouns,ko,1
1960s,서로,ko_nouns,ko,12
1960s,잡고,ko_nouns,ko,5
1960s,마즈,ko_nouns,ko,1
1960s,막,ko_nouns,ko,1
1960s,석양,ko_nouns,ko,1
1960s,해풍,ko_nouns,ko,1
1960s,비바람,ko_nouns,ko,2
1960s,아아,ko_nouns,ko,12
1960s,황포,ko_nouns,ko,2
1960s,돛대,ko_nouns,ko,2
1960s,순풍,ko_nouns,ko,1
1960s,돛,ko_nouns,ko,1
1960s,황혼,ko_nouns,ko,3
1960s,사공,ko_nouns,ko,2
1960s,산아,ko_nouns,ko,2
1960s,옛날,ko_nouns,ko,8
1960s,고향이,ko_nouns,ko,3
1960s,물이,ko_nouns,ko,1
1960s,마르고,ko_nouns,ko,1
1960s,문전,ko_nouns,ko,2
1960s,옥답,ko_nouns,ko,1
1960s,잡초,ko_nouns,ko,1
1960s,바다,ko_nouns,ko,2
1960s,어부,ko_nouns,ko,1
1960s,래일,ko_nouns,ko,1
1960s,세,ko_nouns,ko,2
1960s,까닭,ko_nouns,ko,2
1960s,철새,ko_nouns,ko,3
1960s,낙엽,ko_nouns,ko,23
1960s,흐,ko_nouns,ko,2
1960s,살,ko_nouns,ko,44
1960s,끼리,ko_nouns,ko,4
1960s,정답,ko_nouns,ko,9
1960s,충무로,ko_nouns,ko,2
1960s,명동,ko_nouns,ko,2
1960s,애드벨룬,ko_nouns,ko,2
1960s,둥실,ko_nouns,ko,3
1960s,부풀,ko_nouns,ko,5
1960s,오후,ko_nouns,ko,2
1960s,남산,ko_nouns,ko,4
1960s,새장,ko_nouns,ko,1
1960s,카나리아,ko_nouns,ko,1
1960s,비리비리,ko_nouns,ko,2
1960s,배배,ko_nouns,ko,2
1960s,남성,ko_nouns,ko,2
1960s,금지,ko_nouns,ko,2
1960s,구역,ko_nouns,ko,2
1960s,가시나이,ko_nouns,ko,2
1960s,녜,ko_nouns,ko,2
1960s,바지,ko_nouns,ko,2
1960s,쉬,ko_nouns,ko,1
1960s,대요,ko_nouns,ko,1
1960s,기숙사,ko_nouns,ko,1
1960s,코스모스,ko_nouns,ko,4
1960s,피고,ko_nouns,ko,7
1960s,지고,ko_nouns,ko,10
1960s,울타리,ko_nouns,ko,1
1960s,너머,ko_nouns,ko,2
1960s,공부,ko_nouns,ko,1
1960s,시험,ko_nouns,ko,1
1960s,졸업,ko_nouns,ko,1
1960s,무얼,ko_nouns,ko,1
1960s,외출,ko_nouns,ko,2
1960s,어쩌면,ko_nouns,ko,4
1960s,이슬비,ko_nouns,ko,3
1960s,외로움,ko_nouns,ko,9
1960s,고독,ko_nouns,ko,2
1960s,덕수궁,ko_nouns,ko,2
1960s,돌담,ko_nouns,ko,2
1960s,장길,ko_nouns,ko,2
1960s,거니,ko_nouns,ko,4
1960s,밤비,ko_nouns,ko,7
1960s,울릉도,ko_nouns,ko,7
1960s,소식,ko_nouns,ko,3
1960s,부모님,ko_nouns,ko,1
1960s,모친,ko_nouns,ko,1
1960s,미움,ko_nouns,ko,4
1960s,원한,ko_nouns,ko,1
1960s,맺힌,ko_nouns,ko,7
1960s,어도,ko_nouns,ko,1
1960s,음,ko_nouns,ko,4
1960s,건만,ko_nouns,ko,1
1960s,임의,ko_nouns,ko,3
1960s,기어이,ko_nouns,ko,2
1960s,울음,ko_nouns,ko,9
1960s,안녕,ko_nouns,ko,18
1960s,비둘기,ko_nouns,ko,3
1960s,구구,ko_nouns,ko,1
1960s,깊이,ko_nouns,ko,6
1960s,날밤,ko_nouns,ko,1
1960s,글라스,ko_nouns,ko,1
1960s,여자,ko_nouns,ko,28
1960s,애원,ko_nouns,ko,1
1960s,소냐,ko_nouns,ko,1
1960s,헤메,ko_nouns,ko,1
1960s,재,ko_nouns,ko,2
1960s,불나비,ko_nouns,ko,2
1960s,도,ko_nouns,ko,1
1960s,세월,ko_nouns,ko,11
1960s,전,ko_nouns,ko,4
1960s,옵,ko_nouns,ko,8
1960s,서예,ko_nouns,ko,8
1960s,두운,ko_nouns,ko,3
1960s,눈비,ko_nouns,ko,2
1960s,오거,ko_nouns,ko,2
1960s,보,ko_nouns,ko,4
1960s,아카시아,ko_nouns,ko,6
1960s,다시피,ko_nouns,ko,1
1960s,옛사랑,ko_nouns,ko,3
1960s,괴로움,ko_nouns,ko,1
1960s,아내,ko_nouns,ko,1
1960s,첫,ko_nouns,ko,3
1960s,고양이,ko_nouns,ko,1
1960s,잔,ko_nouns,ko,1
1960s,주름,ko_nouns,ko,1
1960s,호랑이,ko_nouns,ko,1
1960s,남자,ko_nouns,ko,4
1960s,휘,ko_nouns,ko,2
1960s,소릴,ko_nouns,ko,2
1960s,보지,ko_nouns,ko,3
1960s,공처,ko_nouns,ko,3
1960s,사노라면,ko_nouns,ko,1
1960s,짜증,ko_nouns,ko,1
1960s,마누라,ko_nouns,ko,1
1960s,극성,ko_nouns,ko,1
1960s,기,ko_nouns,ko,1
1960s,눈치,ko_nouns,ko,1
1960s,밥,ko_nouns,ko,1
1960s,연락선,ko_nouns,ko,3
1960s,타고,ko_nouns,ko,5
1960s,가면,ko_nouns,ko,13
1960s,이나,ko_nouns,ko,2
1960s,트위스트,ko_nouns,ko,6
1960s,동백,ko_nouns,ko,1
1960s,호박엿,ko_nouns,ko,1
1960s,오징어,ko_nouns,ko,2
1960s,풍년,ko_nouns,ko,2
1960s,육지,ko_nouns,ko,1
1960s,손님,ko_nouns,ko,1
1960s,어서,ko_nouns,ko,11
1960s,형편,ko_nouns,ko,1
1960s,비틀비틀,ko_nouns,ko,1
1960s,요게바,ko_nouns,ko,1
1960s,평생,ko_nouns,ko,1
1960s,다가,ko_nouns,ko,1
1960s,도록,ko_nouns,ko,2
1960s,기차,ko_nouns,ko,2
1960s,비행기,ko_nouns,ko,1
1960s,실컷,ko_nouns,ko,1
1960s,싱글벙글,ko_nouns,ko,1
1960s,생글생글,ko_nouns,ko,1
1960s,마님,ko_nouns,ko,1
1960s,대풍,ko_nouns,ko,1
1960s,온,ko_nouns,ko,3
1960s,종점,ko_nouns,ko,6
1960s,땐,ko_nouns,ko,2
1960s,한평생,ko_nouns,ko,1
1960s,어드메,ko_nouns,ko,1
1960s,계시,ko_nouns,ko,1
1960s,먼지,ko_nouns,ko,1
1960s,대답,ko_nouns,ko,7
1960s,남매,ko_nouns,ko,1
1960s,뼈,ko_nouns,ko,1
1960s,오빠,ko_nouns,ko,1
1960s,보아,ko_nouns,ko,1
1960s,뭄,ko_nouns,ko,1
1960s,부림,ko_nouns,ko,1
1960s,나그네,ko_nouns,ko,3
1960s,흐느끼,ko_nouns,ko,3
1960s,가도,ko_nouns,ko,4
1960s,방랑,ko_nouns,ko,1
1960s,충청도,ko_nouns,ko,1
1960s,아줌마,ko_nouns,ko,1
1960s,한사코,ko_nouns,ko,1
1960s,주안상,ko_nouns,ko,1
1960s,마주,ko_nouns,ko,2
1960s,설움,ko_nouns,ko,3
1960s,엮어,ko_nouns,ko,1
1960s,투술,ko_nouns,ko,1
1960s,사투리,ko_nouns,ko,2
1960s,구나,ko_nouns,ko,2
1960s,과거,ko_nouns,ko,5
1960s,희망,ko_nouns,ko,3
1960s,키다리,ko_nouns,ko,5
1960s,미스터,ko_nouns,ko,6
1960s,김,ko_nouns,ko,14
1960s,키,ko_nouns,ko,2
1960s,이예,ko_nouns,ko,1
1960s,매력,ko_nouns,ko,3
1960s,홀랑,ko_nouns,ko,1
1960s,반했어,ko_nouns,ko,1
1960s,털털,ko_nouns,ko,1
1960s,안경,ko_nouns,ko,1
1960s,말씀,ko_nouns,ko,1
1960s,안보,ko_nouns,ko,1
1960s,곤,ko_nouns,ko,1
1960s,싱글,ko_nouns,ko,1
1960s,웃,ko_nouns,ko,1
1960s,무정,ko_nouns,ko,1
1960s,터,ko_nouns,ko,2
1960s,한탄,ko_nouns,ko,1
1960s,마소,ko_nouns,ko,1
1960s,진정,ko_nouns,ko,1
1960s,거짓말,ko_nouns,ko,1
1960s,행여,ko_nouns,ko,4
1960s,조이,ko_nouns,ko,1
1960s,낭군,ko_nouns,ko,3
1960s,급제,ko_nouns,ko,1
1960s,평양,ko_nouns,ko,2
1960s,기생,ko_nouns,ko,2
1960s,일편단심,ko_nouns,ko,2
1960s,거짓,ko_nouns,ko,1
1960s,주야,ko_nouns,ko,1
1960s,듯,ko_nouns,ko,4
1960s,정일,ko_nouns,ko,2
1960s,정처,ko_nouns,ko,1
1960s,벌거숭이,ko_nouns,ko,2
1960s,빈손,ko_nouns,ko,2
1960s,강물,ko_nouns,ko,4
1960s,지난,ko_nouns,ko,7
1960s,그리움만,ko_nouns,ko,2
1960s,찬,ko_nouns,ko,9
1960s,서리,ko_nouns,ko,2
1960s,황금,ko_nouns,ko,1
1960s,아햐,ko_nouns,ko,1
1960s,정다운,ko_nouns,ko,5
1960s,바닷가,ko_nouns,ko,3
1960s,화진포,ko_nouns,ko,3
1960s,뭉게뭉게,ko_nouns,ko,1
1960s,껍질,ko_nouns,ko,1
1960s,줏어모,ko_nouns,ko,1
1960s,은,ko_nouns,ko,3
1960s,언약,ko_nouns,ko,2
1960s,돛단배,ko_nouns,ko,1
1960s,오색,ko_nouns,ko,1
1960s,모래성,ko_nouns,ko,1
1960s,손가락,ko_nouns,ko,2
1960s,아랴,ko_nouns,ko,2
1960s,갑,ko_nouns,ko,4
1960s,돌이,ko_nouns,ko,4
1960s,갑순이,ko_nouns,ko,4
1960s,곁,ko_nouns,ko,6
1960s,음음음,ko_nouns,ko,3
1960s,척,ko_nouns,ko,2
1960s,시집,ko_nouns,ko,2
1960s,첫날,ko_nouns,ko,2
1960s,화가,ko_nouns,ko,1
1960s,장가,ko_nouns,ko,3
1960s,경상도,ko_nouns,ko,4
1960s,청년,ko_nouns,ko,2
1960s,수염,ko_nouns,ko,1
1960s,나이,ko_nouns,ko,2
1960s,위로,ko_nouns,ko,1
1960s,극장,ko_nouns,ko,1
1960s,구경만,ko_nouns,ko,1
1960s,유모,ko_nouns,ko,1
1960s,털,ko_nouns,ko,2
1960s,타입,ko_nouns,ko,1
1960s,재미,ko_nouns,ko,1
1960s,데이트,ko_nouns,ko,2
1960s,골려,ko_nouns,ko,1
1960s,재주,ko_nouns,ko,2
1960s,태산,ko_nouns,ko,1
1960s,무어,ko_nouns,ko,3
1960s,산만,ko_nouns,ko,2
1960s,곰,ko_nouns,ko,2
1960s,여덟시,ko_nouns,ko,3
1960s,통근,ko_nouns,ko,3
1960s,대머리,ko_nouns,ko,4
1960s,근심,ko_nouns,ko,1
1960s,무심코,ko_nouns,ko,1
1960s,전차,ko_nouns,ko,2
1960s,눈총,ko_nouns,ko,1
1960s,부끄러움,ko_nouns,ko,1
1960s,맘,ko_nouns,ko,4
1960s,답,ko_nouns,ko,5
1960s,삼각지,ko_nouns,ko,4
1960s,로터리,ko_nouns,ko,2
1960s,글피,ko_nouns,ko,1
1960s,찿,ko_nouns,ko,2
1960s,낙비,ko_nouns,ko,2
1960s,마음껏,ko_nouns,ko,1
1960s,치면,ko_nouns,ko,2
1960s,풍차,ko_nouns,ko,2
1960s,기도,ko_nouns,ko,1
1960s,웃기,ko_nouns,ko,1
1960s,물,ko_nouns,ko,4
1960s,두메,ko_nouns,ko,1
1960s,도라지,ko_nouns,ko,1
1960s,산딸기,ko_nouns,ko,1
1960s,향,ko_nouns,ko,3
1960s,풀,ko_nouns,ko,1
1960s,수수,ko_nouns,ko,1
1960s,감자,ko_nouns,ko,1
1960s,씨,ko_nouns,ko,2
1960s,귀,ko_nouns,ko,1
1960s,저런,ko_nouns,ko,2
1960s,어쩌구,ko_nouns,ko,2
